Retrying 96 403'd URLs
  [ 10/96]  1.21/s  {'http_403': 7, 'ok': 2, 'http_202': 1}
  [ 20/96]  1.31/s  {'http_403': 16, 'ok': 3, 'http_202': 1}
  [ 30/96]  1.19/s  {'http_403': 25, 'ok': 4, 'http_202': 1}
  [ 40/96]  0.83/s  {'http_403': 33, 'ok': 6, 'http_202': 1}
  [ 50/96]  0.67/s  {'http_403': 42, 'ok': 7, 'http_202': 1}
  [ 60/96]  0.61/s  {'http_403': 48, 'ok': 7, 'http_202': 5}
  [ 70/96]  0.55/s  {'http_403': 49, 'ok': 7, 'http_202': 14}
  [ 80/96]  0.50/s  {'http_403': 49, 'ok': 7, 'http_202': 24}
  [ 90/96]  0.47/s  {'http_403': 49, 'ok': 7, 'http_202': 34}
  [ 96/96]  0.47/s  {'http_403': 50, 'ok': 8, 'http_202': 38}

Final: {'http_403': 50, 'ok': 8, 'http_202': 38}
